Eval,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?
RESP14,3,3,4,3,1,2,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,2,5,2,1,1,1,1,2,2,1,3,1,2,1,3,1,1,1,1
RESP15,4,1,3,2,4,3,2,4,1,1,1,3,2,2,2,3,1,1,3,2,1,1,4,3,1,1,1,4,4,5,3,5,1,1,1,3,1,3,3,5
RESP16,3,1,4,3,4,5,2,5,1,1,1,1,1,1,1,1,1,1,3,3,2,3,5,5,1,1,1,3,2,3,1,3,1,2,1,5,1,3,3,1
RESP17,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,2,4,3,4,4,3,4,4,2,1,2,1,2,1,3,3,3,2,4,2,4,3,2,3,2
RESP18,2,1,1,3,3,2,2,4,1,1,1,2,1,1,1,2,1,2,4,4,1,2,4,4,1,1,1,4,1,3,3,2,1,3,1,4,1,3,3,3
RESP19,3,1,2,2,4,4,2,2,1,3,1,1,1,1,1,1,3,3,3,2,4,4,5,3,2,1,1,3,1,4,2,2,3,3,1,4,1,1,1,2
RESP20,3,1,2,3,1,2,1,2,1,1,1,4,1,1,1,3,1,1,1,1,1,3,5,4,3,2,1,4,5,5,5,5,1,1,1,3,1,2,2,3
RESP21,1,1,3,1,4,2,4,3,1,1,2,2,1,1,1,4,1,1,2,2,1,3,5,4,1,1,1,3,2,5,2,3,1,2,1,3,1,3,2,1
RESP22,4,1,3,2,3,4,2,4,2,1,3,2,1,1,1,3,1,2,4,3,1,1,5,4,2,1,1,5,2,3,3,5,1,1,1,3,1,3,3,1
RESP23,3,1,2,3,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1
RESP24,4,2,3,5,3,4,2,3,2,2,2,3,1,1,1,4,1,2,2,2,2,2,3,2,2,3,1,2,2,3,2,4,1,2,1,3,1,3,3,2
RESP25,3,4,1,3,4,2,1,4,1,1,1,4,4,4,4,4,5,2,2,2,4,4,5,5,4,2,1,5,4,5,4,4,2,4,3,4,3,4,4,2
RESP26,4,3,4,3,4,4,3,4,1,1,1,2,1,1,1,3,1,3,4,3,5,4,5,4,2,2,1,4,2,4,4,4,2,3,1,4,1,3,3,1
RESP27,4,2,3,4,3,4,2,3,1,1,2,1,1,1,1,4,1,1,2,1,1,4,5,5,1,1,1,4,1,4,1,5,1,1,1,4,1,4,5,2
RESP28,4,2,4,4,4,3,5,4,2,2,2,2,1,1,1,3,1,1,2,2,1,3,4,4,1,1,1,3,2,3,3,4,1,2,1,4,1,4,4,4
RESP29,4,3,2,4,1,3,3,2,2,1,2,2,1,1,1,4,2,4,3,3,3,3,4,4,2,1,1,3,4,5,2,5,1,2,1,3,1,4,4,2
RESP30,3,1,2,4,2,2,2,2,2,3,2,4,1,1,1,3,2,2,4,4,3,3,5,5,2,2,1,4,1,5,5,5,1,3,1,4,1,4,4,4
RESP31,2,1,4,4,3,3,2,4,1,2,2,1,1,1,1,1,1,1,2,2,2,2,5,4,1,1,1,3,1,2,1,2,1,1,2,2,1,1,1,1
RESP32,2,1,2,3,4,2,2,4,4,1,2,2,1,1,1,5,1,1,3,3,2,4,5,4,2,2,1,3,4,5,5,5,1,1,1,4,1,4,4,4
RESP33,2,1,4,2,3,3,4,3,2,1,2,4,1,1,1,2,1,2,4,4,4,4,5,4,1,2,1,3,5,5,5,5,1,2,1,4,1,5,5,3
RESP34,4,1,5,4,5,5,4,5,2,4,2,4,1,1,1,4,2,2,3,3,3,4,4,4,1,3,2,4,1,5,5,5,1,2,1,3,1,1,1,3
RESP35,5,1,4,3,4,4,3,4,2,2,3,3,1,3,3,5,1,1,3,2,4,4,5,4,2,1,2,4,2,4,5,3,3,4,1,4,1,4,4,2
RESP36,2,1,2,2,1,2,1,3,2,4,3,4,1,2,3,3,2,1,4,3,2,3,4,2,1,1,1,3,2,4,3,5,1,2,1,4,1,3,4,3
RESP37,5,1,4,2,2,2,1,3,1,1,1,3,1,1,1,4,1,1,3,3,3,2,5,4,2,1,1,5,1,5,2,5,1,1,1,4,1,5,5,3
RESP38,3,1,2,3,2,4,2,2,1,3,1,4,1,2,2,2,4,1,4,2,2,2,4,2,3,1,1,1,2,5,3,3,2,4,1,2,1,1,1,4
RESP39,3,2,3,3,3,4,2,3,2,2,4,3,1,1,2,3,1,3,4,4,2,3,5,5,2,2,1,4,2,4,4,5,1,4,1,5,1,4,4,3
RESP40,4,1,2,3,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,2,3,4,4,1,2,1,3,1,3,4,4,1,2,1,2,1,2,2,2
RESP41,4,1,4,2,3,2,1,4,2,3,2,4,1,1,2,4,1,1,3,2,2,3,4,5,2,2,2,4,3,3,4,4,1,3,1,4,1,2,2,3
RESP42,4,1,4,2,4,3,3,4,1,1,1,2,1,1,1,3,1,1,2,2,2,3,3,3,2,1,1,3,1,1,3,4,1,1,1,3,1,2,2,1
RESP43,4,1,3,4,4,3,4,4,1,1,1,4,1,1,1,4,1,1,1,1,1,5,5,3,1,1,1,3,4,1,2,4,1,3,1,4,1,2,2,3
RESP44,4,2,2,2,2,1,2,5,1,2,1,3,1,1,1,3,1,1,1,1,4,4,5,5,2,2,2,4,5,5,5,5,1,3,1,4,1,1,2,2
RESP45,4,1,2,3,4,2,1,4,3,2,4,4,1,1,1,2,1,1,4,4,2,2,5,4,1,1,1,5,1,4,5,5,1,1,1,5,1,1,1,1
RESP46,3,1,2,2,3,2,1,4,1,1,2,3,1,1,1,3,1,1,2,2,1,1,3,2,1,1,1,2,3,3,2,3,1,1,1,2,1,2,2,2
RESP47,3,1,2,3,2,3,1,2,1,1,1,3,1,1,1,4,1,1,2,1,1,1,5,5,2,1,1,2,1,3,2,2,1,1,1,3,1,4,4,1
RESP48,5,3,3,4,4,2,1,4,2,3,2,4,1,1,1,2,2,2,4,4,3,3,5,4,3,3,2,4,1,3,2,5,1,3,1,5,1,2,2,3
RESP49,1,1,1,1,4,3,1,5,1,1,1,3,1,1,1,3,1,2,4,3,1,2,5,3,1,1,1,3,2,3,4,5,1,2,1,4,1,3,2,4
RESP50,2,1,1,2,2,2,2,2,4,3,3,4,3,3,3,4,1,3,3,3,3,3,4,4,2,2,1,3,2,3,3,4,1,1,1,2,1,2,2,2
RESP51,3,1,3,2,3,2,1,4,3,1,4,4,1,2,1,3,1,2,3,1,1,3,5,4,1,1,1,2,1,2,4,3,1,1,1,4,1,4,2,3
RESP52,5,4,3,5,3,4,5,5,3,3,4,5,3,4,4,5,4,5,4,3,3,4,5,5,3,2,2,5,3,3,4,5,2,3,1,4,1,2,3,4
RESP53,4,1,3,2,4,2,3,4,1,4,2,4,1,2,3,4,1,2,4,3,3,4,4,3,1,1,1,5,2,4,4,4,1,4,1,4,1,3,2,3
RESP54,3,1,3,4,3,2,4,5,2,3,2,4,1,1,1,3,2,2,3,2,2,3,3,4,1,1,1,4,2,4,3,3,1,1,1,3,2,2,2,3
RESP55,5,1,5,5,5,5,1,5,1,1,1,5,1,1,1,5,1,4,3,3,1,1,5,5,1,3,1,5,5,5,2,5,1,3,1,5,1,5,5,5
RESP56,3,1,3,4,5,4,2,3,1,2,2,4,1,1,1,4,1,1,1,1,2,4,5,4,1,1,1,3,1,4,5,5,1,2,1,3,1,3,2,1
RESP57,3,2,4,3,5,3,2,4,2,2,3,3,1,1,1,4,1,1,1,2,2,3,4,5,1,2,1,3,2,4,3,5,1,1,1,1,1,4,4,3
RESP58,2,1,2,2,2,3,1,4,1,1,2,2,1,1,1,2,1,2,2,2,1,1,3,2,1,1,1,3,1,4,3,2,1,2,1,4,1,2,2,2
RESP59,2,1,2,2,3,3,1,3,1,1,1,1,1,1,1,2,1,2,3,3,3,3,5,3,3,2,1,4,1,2,2,3,2,3,4,3,1,2,2,1
RESP60,3,1,3,3,4,4,3,4,3,3,3,3,2,2,2,4,1,2,4,4,2,3,4,4,1,1,1,2,3,4,4,4,1,2,1,4,1,3,3,3
RESP61,3,1,4,4,3,3,2,4,2,2,2,4,1,1,1,2,2,2,2,2,1,2,5,3,1,2,1,3,3,4,3,4,1,1,1,2,1,2,2,4
RESP62,4,2,3,4,4,4,3,4,2,2,2,3,1,1,3,3,3,2,3,3,1,1,4,3,1,2,1,3,3,4,3,4,1,3,1,4,1,3,4,3
RESP63,5,1,4,3,3,3,4,4,1,2,2,3,1,1,1,3,1,1,3,3,1,3,5,5,1,1,1,5,2,4,2,3,1,1,1,5,1,4,4,3
RESP64,5,1,3,2,1,3,1,1,3,3,3,4,1,1,1,1,1,1,3,3,5,5,5,5,3,3,1,5,2,5,5,5,1,5,5,5,1,5,5,3
RESP65,2,1,3,2,4,4,2,5,2,3,2,1,1,1,1,1,1,3,3,3,4,5,5,5,1,1,1,4,3,5,5,5,1,2,1,5,1,4,4,3
RESP66,3,1,4,1,5,3,1,5,4,4,5,5,1,1,1,4,4,1,4,1,5,5,5,1,2,2,1,5,5,3,2,2,1,1,1,3,1,3,2,1
RESP67,4,2,3,4,3,4,2,4,3,2,3,4,1,1,1,4,2,3,3,4,4,4,5,4,2,2,1,3,5,5,4,5,1,2,1,4,1,3,3,4
RESP68,2,1,2,3,4,2,1,3,2,2,2,2,1,1,1,2,1,2,4,4,2,3,5,4,1,1,1,4,4,4,3,3,1,2,1,3,1,3,3,2
RESP69,3,3,1,4,3,2,4,4,4,2,3,4,1,1,1,4,2,3,3,4,2,3,4,4,3,2,1,3,3,4,2,4,1,1,1,3,2,3,1,1
RESP70,4,2,1,3,1,2,2,2,1,2,3,4,1,2,1,1,2,1,3,3,1,2,4,5,2,2,1,3,3,5,5,3,4,3,3,4,3,3,4,5
RESP71,5,2,2,2,4,3,2,4,2,2,3,5,1,1,1,1,1,2,4,4,2,3,4,1,2,2,1,3,3,4,4,5,1,1,1,2,1,1,1,2
RESP72,4,2,5,3,4,4,2,4,1,1,1,1,1,1,1,4,3,5,5,3,4,4,5,4,2,1,1,5,4,4,3,5,1,1,1,4,1,2,2,4
RESP73,3,1,3,2,3,3,2,1,1,1,1,1,1,1,2,3,1,1,2,2,2,1,3,1,1,1,1,2,3,4,3,5,2,3,1,3,1,3,3,2
RESP74,2,1,2,1,4,2,1,4,1,1,1,1,1,1,1,3,1,2,2,2,2,3,4,3,1,1,1,2,1,1,3,3,1,1,1,1,1,2,2,1
RESP75,4,2,3,4,3,4,3,3,2,2,2,3,1,1,1,2,2,1,2,2,2,3,4,3,2,2,1,3,4,5,5,5,1,2,1,3,1,4,5,2
RESP76,1,4,1,1,2,2,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,4,5,3,1,1,1,1,1,1,2,4,1,1,1,3,1,3,4,1
RESP77,4,2,3,1,4,4,1,4,1,3,4,4,1,1,1,5,1,1,2,4,1,3,4,5,3,4,1,4,1,3,4,4,1,1,1,4,1,1,1,3
RESP78,3,2,3,3,1,1,1,1,3,3,3,5,4,3,4,5,1,2,2,3,1,4,5,3,2,1,1,1,3,4,5,5,3,3,2,2,1,2,3,3
RESP79,3,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,3,3,1,1,1,2,2,2,1,3,1,1,1,3,1,1,1,3
RESP80,2,2,1,2,3,2,1,2,2,1,2,3,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,3,1,2,1,2,1,1,1,3,1,3,2,2
RESP81,2,1,1,2,3,3,1,4,1,1,1,1,1,1,1,2,3,2,4,3,1,1,5,3,1,1,1,4,2,5,3,5,2,3,1,4,1,4,4,3
RESP82,2,3,2,4,5,4,3,4,2,1,3,3,2,2,3,3,2,4,5,4,3,4,4,4,1,2,1,4,4,4,5,5,2,2,1,4,2,3,3,2
RESP83,5,4,4,5,4,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,4,4,2,1,1,4,1,2,2,1,1,1,1,3,1,1,1,1
RESP84,3,1,2,3,4,2,3,3,1,3,3,2,1,3,1,1,1,1,3,3,1,2,3,3,1,1,1,3,1,3,1,2,1,1,1,2,1,2,2,3
RESP85,2,1,3,1,3,1,3,3,1,2,2,1,1,1,1,2,1,1,2,1,2,3,5,5,1,1,1,2,1,5,4,5,1,3,2,5,1,2,2,2
RESP86,2,1,3,3,3,1,4,4,1,1,1,2,1,1,1,1,1,2,3,2,1,3,4,4,1,1,1,3,3,4,1,3,1,1,1,3,1,1,1,1
RESP87,4,1,3,5,2,2,2,2,1,3,1,1,1,1,1,5,4,3,4,3,1,5,5,5,1,1,1,4,5,5,5,5,4,4,2,5,1,1,1,1
RESP88,4,1,4,4,2,2,3,4,2,2,3,4,1,1,1,1,1,1,2,1,1,1,3,4,1,1,1,4,1,3,1,5,1,1,1,3,1,3,4,3
RESP89,3,1,2,1,4,4,3,4,2,1,1,3,3,3,3,4,1,2,4,4,1,2,5,3,1,1,1,3,2,4,1,5,1,1,1,4,1,1,1,1
RESP90,5,1,4,2,3,2,1,3,1,1,1,4,1,1,1,5,1,1,2,1,1,1,5,2,1,1,1,3,2,5,3,3,1,1,1,5,1,2,2,1
RESP91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RESP92,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,5,4,1,1,1,2,2,3,4,3,1,1,1,2,1,1,1,1
RESP93,4,3,3,4,4,4,3,3,3,4,3,3,2,2,4,4,3,4,4,3,3,4,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,3
RESP94,2,1,3,1,4,3,1,3,2,1,1,4,1,1,1,2,2,1,2,2,1,2,5,5,1,1,1,1,2,2,3,4,1,1,1,4,1,1,4,1
RESP95,4,2,5,4,3,4,3,4,4,2,4,2,1,1,1,4,1,3,4,2,5,5,5,5,1,1,1,5,2,4,5,5,1,2,1,4,1,4,4,1
RESP96,3,2,3,2,4,2,2,4,3,3,2,4,1,1,2,4,1,3,1,2,4,4,4,3,1,2,1,4,3,4,4,2,1,2,1,4,1,4,4,3
RESP97,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,4,3,2,2,1,3,3,4,3,4,1,1,1,4,1,1,2,1
RESP98,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1
RESP99,2,2,3,3,3,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2,3,1,1,1,3,1,1,1,1
RESP100,3,2,3,4,3,4,3,2,2,2,3,3,2,2,2,5,2,2,3,2,3,2,5,5,2,2,1,4,3,4,4,5,1,4,1,4,1,3,2,3
RESP101,3,1,1,1,4,4,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,3,4,4,1,1,1,1,1,5,5,5,1,2,1,3,1,4,4,1
